x,y
2.5723037863186726,-14.70494514747344
2.575622634768304,-14.704672851736458
2.578941483217936,-14.704400555999477
2.58226287680812,-14.704161297521921
2.585584270398304,-14.703922039044363
2.588905663988488,-14.703682780566806
2.5922270575786723,-14.703443522089248
2.5955484511688565,-14.703204263611692
2.5988716066915307,-14.702990868737999
2.602194762214205,-14.702777473864307
2.6055179177368792,-14.702564078990614
2.6088410732595535,-14.702350684116922
2.6121642287822278,-14.702137289243229
2.615487384304902,-14.701923894369537
2.618812182904786,-14.701737845262553
2.6221369815046702,-14.70155179615557
2.6254617801045543,-14.701365747048586
2.6287865787044384,-14.701179697941603
2.6321113773043225,-14.700993648834618
2.6354361759042066,-14.700807599727636
2.6387622799305244,-14.700646565550784
2.642088383956842,-14.700485531373932
2.64541448798316,-14.70032449719708
2.6487405920094775,-14.700163463020228
2.6520666960357953,-14.700002428843376
2.6553936527372204,-14.699860094354078
2.6587206094386455,-14.699717759864779
2.6620475661400707,-14.69957542537548
2.665374522841496,-14.699433090886183
2.668701479542921,-14.699290756396884
2.672028436244346,-14.699148421907587
2.675356161811793,-14.699025366847716
2.6786838873792402,-14.698902311787844
2.6820116129466873,-14.698779256727972
2.6853393385141344,-14.6986562016681
2.6886670640815815,-14.698533146608229
2.6919947896490286,-14.698410091548357
2.6953230978793226,-14.698303958027935
2.6986514061096165,-14.698197824507513
2.7019797143399105,-14.698091690987091
2.7053080225702044,-14.69798555746667
2.7086363308004984,-14.697879423946246
2.7119650002629143,-14.697785298445021
2.7152936697253303,-14.697691172943795
2.718622339187746,-14.697597047442569
2.721951008650162,-14.697502921941345
2.725279678112578,-14.697408796440119
2.728608347574994,-14.697314670938894
2.7319373250853336,-14.697232155875698
2.735266302595673,-14.697149640812501
2.7385952801060127,-14.697067125749305
2.7419242576163523,-14.696984610686108
2.745253235126692,-14.696902095622912
2.7485822126370314,-14.696819580559715
2.7519114062993917,-14.696746303288347
2.755240599961752,-14.696673026016978
2.7585697936241123,-14.696599748745609
2.7618989872864725,-14.69652647147424
2.765228180948833,-14.696453194202872
2.768557493327687,-14.69638552527345
2.7718868057065413,-14.696317856344029
2.7752161180853956,-14.696250187414607
2.77854543046425,-14.696182518485188
2.781874742843104,-14.696114849555766
2.7852040552219584,-14.696047180626346
2.7885334509437065,-14.695983744611299
2.7918628466654547,-14.695920308596252
2.795192242387203,-14.695856872581205
2.798521638108951,-14.695793436566158
2.8018510338306992,-14.695730000551109
2.8051804295524474,-14.695666564536062
2.8085098590463016,-14.695604926516502
2.8118392885401557,-14.695543288496943
2.81516871803401,-14.695481650477381
2.818498147527864,-14.695420012457822
2.8218275770217183,-14.69535837443826
2.8251570065155724,-14.695296736418701
2.8284864210774825,-14.695234297048586
2.8318158356393925,-14.69517185767847
2.8351452502013026,-14.695109418308355
2.8384746647632126,-14.69504697893824
2.8418040793251227,-14.694984539568125
2.8451334383372604,-14.694919205286949
2.848462797349398,-14.694853871005773
2.851792156361536,-14.694788536724596
2.8551215153736735,-14.69472320244342
2.8584508743858112,-14.694657868162246
2.861780233397949,-14.69459253388107
2.865109478644749,-14.694521638982382
2.868438723891549,-14.694450744083694
2.8717679691383493,-14.694379849185006
2.8750972143851494,-14.694308954286319
2.8784264596319495,-14.694238059387631
2.8817557048787497,-14.694167164488944
2.8850847651896494,-14.694088060466338
2.888413825500549,-14.694008956443733
2.891742885811449,-14.693929852421128
2.8950719461223486,-14.693850748398523
2.8984010064332484,-14.693771644375916
2.9017298345469444,-14.693683307580264
2.9050586626606405,-14.693594970784611
2.9083874907743366,-14.693506633988958
2.9117163188880326,-14.693418297193306
2.9150451470017287,-14.693329960397653
2.9183739751154247,-14.693241623602
2.921702435619868,-14.693140378007715
2.925030896124311,-14.69303913241343
2.9283593566287545,-14.692937886819145
2.9316878171331977,-14.69283664122486
2.935016277637641,-14.692735395630573
2.938344738142084,-14.692634150036287
2.9416726808278217,-14.692517113800676
2.9450006235135593,-14.692400077565065
2.948328566199297,-14.692283041329453
2.9516565088850344,-14.692166005093842
2.954984451570772,-14.69204896885823
2.958311801364603,-14.691916140587539
2.9616391511584337,-14.691783312316847
2.9649665009522645,-14.691650484046155
2.968293850746095,-14.691517655775463
2.9716212005399254,-14.69138482750477
2.974948550333756,-14.691251999234078
2.978275016933416,-14.691098637044002
2.981601483533076,-14.690945274853926
2.9849279501327364,-14.69079191266385
2.9882544167323966,-14.690638550473775
2.9915808833320567,-14.690485188283699
2.994907349931717,-14.690331826093624
2.9982326408068016,-14.690154793339373
3.0015579316818863,-14.689977760585121
3.004883222556971,-14.68980072783087
3.0082085134320558,-14.689623695076618
3.0115338043071405,-14.689446662322366
3.014857877509864,-14.689248073946738
3.0181819507125875,-14.68904948557111
3.021506023915311,-14.68885089719548
3.0248300971180346,-14.68865230881985
